"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K4";"HEADER_MALE_7X1";1;"HEADER_MALE_7X1";;;
2;",,,,,,,,,,,,,,";"buzzardLabel";15;"";;;
3;"G***";"Logo-Front-SolderedFULL-10mm";1;"LOGO";;;
4;"H2,H3,H1,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
5;"R6";"0603R";1;"200k";;;
6;"D1";"0402LED";1;"purple";;;
7;"R1";"0402R";1;"1k";;;
8;"U1";"HTSSOP-28";1;"DRV8424PPWPR";;;
9;"JP1";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
10;"C6";"0603C";1;"C1608X7R2A223K080AA";;;
11;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
12;"R4,R2";"0603R";2;"10k";;;
13;"R3";"0603R";1;"5k1";;;
14;"R5";"0603R";1;"500k";;;
15;"C2";"ELECTROLITIC_CAP_8x8x14.5";1;"VKMD1451K101MV";;;
16;"C3,C1";"0805C";2;"08051C103KAT2A";;;
17;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
18;"C5";"0603C";1;"100nF";;;
19;"REF**";"Logo-Back-SolderedFULL-20mm";1;"Logo-Front-SolderedFULL-20mm";;;
20;"K2,K3,K1";"TERMINAL_KF235-5.0-2P";3;"TERMINAL_KF235-5.0-2P";;;
21;"C4";"0603C";1;"AC0603KRX7R9BB224";;;
22;"";"Version1.0.0.";1;"";;;
